species_id,common_name,scientific_name
31657,Collared Flycatcher,Ficedula albicollis
12841,Collared Forest-falcon,Micrastur semitorquatus
29426,Collared Gnatwren,Microbates collaris
34182,Collared Grosbeak,Mycerobas affinis
5569,Collared Imperial-pigeon,Ducula mullerii
3106,Collared Inca,Coeligena torquata
10477,Collared Kingfisher,Todiramphus chloris
24174,Collared Lark,Amirafra collaris
28370,Collared Laughingthrush,Trochalopteron yersini
13982,Collared Lory,Vini solitaria
29947,Collared Myna,Acridotheres albocinctus
1824,Collared Nightjar,Gactornis enarratus
9069,Collared Owlet,Taenioptynx brodiei
31383,Collared Palm-thrush,Cichladusa arquata
1020,Collared Partridge,Arborophila gingica
7529,Collared Petrel,Pterodroma brevipes
6575,Collared Plover,Anarhynchus collaris
6898,Collared Pratincole,Glareola pratincola
11008,Collared Puffbird,Bucco capensis
25118,Collared Sand Martin,Riparia riparia
9400,Collared Scops-owl,Otus lettia
8462,Collared Sparrowhawk,Tachyspiza cirrocephala
32342,Collared Sunbird,Hedydipna collaris
35632,Collared Towhee,Pipilo ocai
22953,Collared Treepie,Dendrocitta frontalis
9997,Collared Trogon,Trogon collaris
37327,Collared Warbling-finch,Poospiza hispaniolensis
36514,Collared Whitestart,Myioborus torquatus
664,Colombian Chachalaca,Ortalis columbiana
5700,Colombian Crake,Mustelirallus colombianus
6248,Colombian Grebe,Podiceps andinus
29090,Colombian Wren,
3080,Colorful Puffleg,Eriocnemis mirabilis
325,Comb Duck,Sarkidiornis sylvicola
6632,Comb-crested Jacana,Irediparra gallinacea
28548,Common Babbler,Argya caudata
8892,Common Barn-owl,Tyto alba
8711,Common Black Hawk,Buteogallus anthracinus
4815,Common Bronzewing,Phaps chalcoptera
25033,Common Bulbul,Pycnonotus barbatus
6311,Common Buttonquail,Turnix sylvaticus
37094,Common Cactus-finch,Geospiza scandens
34153,Common Chaffinch,Fringilla coelebs
25725,Common Chiffchaff,Phylloscopus collybita
35080,Common Chlorospingus,Chlorospingus flavopectus
6178,Common Crane,Grus grus
4345,Common Cuckoo,Cuculus canorus
7626,Common Diving-petrel,Pelecanoides urinatrix
505,Common Eider,Somateria mollissima
31,Common Emu,Dromaius novaehollandiae
28810,Common Firecrest,Regulus ignicapilla
22598,Common Fiscal,Lanius collaris
12689,Common Flameback,Dinopium javanense
5896,Common Gallinule,Gallinula galeata
526,Common Goldeneye,Bucephala clangula
36040,Common Grackle,Quiscalus quiscula
26148,Common Grasshopper-warbler,Locustella naevia
22913,Common Green Magpie,Cissa chinensis
6789,Common Greenshank,Tringa nebularia
4873,Common Ground Dove,Columbina passerina
7133,Common Gull,Larus canus
6991,Common Gull-billed Tern,Gelochelidon nilotica
4311,Common Hawk-Cuckoo,Hierococcyx varius
29916,Common Hill Myna,Gracula religiosa
10020,Common Hoopoe,Upupa epops
20500,Common Iora,Aegithina tiphia
26325,Common Jery,Neomixis tenella
12862,Common Kestrel,Falco tinnunculus
10642,Common Kingfisher,Alcedo atthis
34631,Common Linnet,Linaria cannabina
7917,Common Little Bittern,Botaurus minutus
7299,Common Loon,Gavia immer
14501,Common Miner,Geositta cunicularia
5904,Common Moorhen,Gallinula chloropus
7255,Common Murre,Uria aalge
29949,Common Myna,Acridotheres tristis
20329,Common Newtonia,Newtonia brunneicauda
1848,Common Nighthawk,Chordeiles minor
31446,Common Nightingale,Luscinia megarhynchos
1,Common Ostrich,Struthio camelus
10315,Common Paradise-kingfisher,Tanysiptera galatea
1316,Common Pheasant,Phasianus colchicus
487,Common Pochard,Aythya ferina
1954,Common Poorwill,Phalaenoptilus nuttallii
2156,Common Potoo,Nyctibius griseus
1628,Common Quail,Coturnix coturnix
23129,Common Raven,Corvus corax
6774,Common Redshank,Tringa totanus
31731,Common Redstart,Phoenicurus phoenicurus
26052,Common Reed-warbler,Acrocephalus scirpaceus
6468,Common Ringed Plover,Charadrius hiaticula
34302,Common Rosefinch,Carpodacus erythrinus
6764,Common Sandpiper,Actitis hypoleucos
16191,Common Scale-backed Antbird,Willisornis poecilinotus
10064,Common Scimitarbill,Rhinopomastus cyanomelas
520,Common Scoter,Melanitta nigra
346,Common Shelduck,Tadorna tadorna
6743,Common Snipe,Gallinago gallinago
4086,Common Squirrel-cuckoo,Piaya cayana
29990,Common Starling,Sturnus vulgaris
14224,Common Sunbird-Asity,Neodrepanis coruscans
2598,Common Swift,Apus apus
26933,Common Tailorbird,Orthotomus sutorius
448,Common Teal,Anas crecca
7034,Common Tern,Sterna hirundo
17482,Common Tody-flycatcher,Todirostrum cinereum
17762,Common Vermilion Flycatcher,Pyrocephalus rubinus
33615,Common Waxbill,Estrilda astrild
6914,Common White Tern,
27155,Common Whitethroat,Curruca communis
4457,Common Woodpigeon,Columba palumbus
20384,Common Woodshrike,Tephrodornis pondicerianus
36201,Common Yellowthroat,Geothlypis trichas
20311,Comoro Blue Vanga,Cyanolanius comorensis
5469,Comoro Blue-pigeon,Alectroenas sganzini
20596,Comoro Cuckooshrike,Ceblepyris cucullatus
21899,Comoro Drongo,Dicrurus fuscipennis
5232,Comoro Green-pigeon,Treron griveaudi
4475,Comoro Olive-pigeon,Columba pollenii
13596,Comoro Parrot,Coracopsis sibilans
30523,Comoro Thrush,Turdus bewsheri
33150,Compact Weaver,Pachyphantes superciliosus
37105,Cone-billed Tanager,Conothraupis mesoleuca
31882,Congo Moor Chat,Myrmecocichla tholloni
1430,Congo Peafowl,Afropavo congensis
10110,Congo Pied Hornbill,Lophoceros fasciatus
25117,Congo Sand Martin,Riparia congica
8296,Congo Serpent-eagle,Circaetus spectabilis
32566,Congo Sunbird,Cinnyris congensis
36163,Connecticut Warbler,Oporornis agilis
26022,Cook Islands Reed-warbler,Acrocephalus kerearako
7532,Cook's Petrel,Pterodroma cookii
2635,Cook's Swift,Apus cooki
8591,Cooper's Hawk,Astur cooperii
16966,Coopmans's Elaenia,Elaenia brachyptera
17174,Coopmans's Tyrannulet,
1302,Copper Pheasant,Syrmaticus soemmerringii
37297,Copper Seedeater,Sporophila bouvreuil
32616,Copper Sunbird,Cinnyris cupreus
3590,Copper-rumped Hummingbird,Saucerottia tobaci
3585,Copper-tailed Hummingbird,Saucerottia cupreicauda
30010,Copper-tailed Starling,Hylopsar cupreocauda
32472,Copper-throated Sunbird,Leptocoma calcostetha
19989,Copperback Quail-thrush,Cinclosoma clarum
11384,Coppersmith Barbet,Psilopogon haemacephalus
3390,Coppery Emerald,Chlorostilbon russatus
3036,Coppery Metaltail,Metallura theresiae
2901,Coppery Thorntail,Discosura letitiae
3069,Coppery-bellied Puffleg,Eriocnemis cupreoventris
10959,Coppery-chested Jacamar,Galbula pastazae
3498,Coppery-headed Emerald,Microchera cupreiceps
3075,Coppery-naped Puffleg,
3940,Coppery-tailed Coucal,Centropus cupreicaudus
9988,Coppery-tailed Trogon,
4016,Coquerel's Coua,Coua coquereli
1520,Coqui Francolin,Campocolinus coqui
4001,Coral-billed Ground-cuckoo,Carpococcyx renauldi
27875,Coral-billed Scimitar-babbler,Pomatorhinus ferruginosus
29056,Coraya Wren,Pheugopedius coraya
16294,Cordillera Azul Antbird,Myrmoderus eowilsoni
26107,Cordillera Ground-warbler,Robsonius rabori
15377,Cordilleran Canastero,Asthenes modesta
17748,Cordilleran Flycatcher,
13567,Cordilleran Parakeet,Psittacara frontatus
15032,Cordoba Cinclodes,Cinclodes comechingonus
34909,Corn Bunting,Emberiza calandra
5789,Corncrake,Crex crex
5393,Coroneted Fruit-dove,Ptilinopus coronulatus
34134,Correndera Pipit,Anthus correndera
34711,Corsican Finch,Carduelis corsicana
29554,Corsican Nuthatch,Sitta whiteheadi
7556,Cory's Shearwater,Calonectris borealis
297,Coscoroba Swan,Coscoroba coscoroba
35248,Costa Rican Brushfinch,Arremon costaricensis
35571,Costa Rican Ground-sparrow,Melozone cabanisi
9220,Costa Rican Pygmy-owl,Glaucidium costaricanum
