species_id,avilist_common_name,scientific_name
6351,Double-striped Thick-knee,Burhinus bistriatus
6356,Peruvian Thick-knee,Burhinus superciliaris
6437,White-backed Stilt,Himantopus melanurus
6461,Rufous-chested Plover,Charadrius modestus
6480,Forbes's Plover,Charadrius forbesi
6482,African Three-banded Plover,Charadrius tricollaris
6484,Madagascar Three-banded Plover,Charadrius bifrontatus
6486,Black-fronted Dotterel,Elseyornis melanops
6490,Little Ringed Plover,Charadrius dubius
6494,Long-billed Plover,Charadrius placidus
6534,Black-shouldered Lapwing,Vanellus novaehollandiae
6548,Caspian Plover,Charadrius asiaticus
6549,Oriental Plover,Charadrius veredus
6550,Tibetan Sandplover,Charadrius atrifrons
6554,Siberian Sandplover,Charadrius mongolus
6557,Greater Sandplover,Charadrius leschenaultii
6561,Double-banded Plover,Charadrius bicinctus
6565,Southern Red-breasted Plover,Charadrius obscurus
6566,Northern Red-breasted Plover,Charadrius aquilonius
6569,Wilson's Plover,Charadrius wilsonia
6575,Collared Plover,Charadrius collaris
6576,Mountain Plover,Charadrius montanus
6577,Puna Plover,Charadrius alticola
6578,Two-banded Plover,Charadrius falklandicus
6579,Black-banded Plover,Charadrius thoracicus
6580,Kittlitz's Plover,Charadrius pecuarius
6583,Saint Helena Plover,Charadrius sanctaehelenae
6584,Red-capped Plover,Charadrius ruficapillus
6586,Snowy Plover,Charadrius nivosus
6590,Chestnut-banded Plover,Charadrius pallidus
6593,Malay Plover,Charadrius peronii
6594,White-fronted Plover,Charadrius marginatus
6602,Javan Plover,Charadrius javanicus
6603,Kentish Plover,Charadrius alexandrinus
6609,White-faced Plover,Charadrius dealbatus
6760,Wilson's Phalarope,Steganopus tricolor
6888,Australian Pratincole,Stiltia isabella
6939,Grey Noddy,Anous albivittus
7056,Cabot's Tern,Thalasseus acuflavidus
7092,Slender-billed Gull,Larus genei
7093,Bonaparte's Gull,Larus philadelphia
7094,Silver Gull,Larus novaehollandiae
7100,Black-billed Gull,Larus bulleri
7101,Andean Gull,Larus serranus
7102,Brown-hooded Gull,Larus maculipennis
7103,Black-headed Gull,Larus ridibundus
7104,Brown-headed Gull,Larus brunnicephalus
7105,Grey-headed Gull,Larus cirrocephalus
7109,Hartlaub's Gull,Larus hartlaubii
7111,Grey Gull,Larus modestus
7112,Dolphin Gull,Larus scoresbii
7113,Laughing Gull,Larus atricilla
7116,Franklin's Gull,Larus pipixcan
7117,Lava Gull,Larus fuliginosus
7118,Pallas's Gull,Larus ichthyaetus
7119,Relict Gull,Larus relictus
7121,Audouin's Gull,Larus audouinii
7122,Mediterranean Gull,Larus melanocephalus
7124,Sooty Gull,Larus hemprichii
7125,White-eyed Gull,Larus leucophthalmus
7198,Great Skua,Catharacta skua
7200,Chilean Skua,Catharacta chilensis
7202,Brown Skua,Catharacta antarctica
7209,South Polar Skua,Catharacta maccormicki
7404,White-capped Albatross,Thalassarche steadi
7412,Campbell Albatross,Thalassarche impavida
7624,Whenua Hou Diving-petrel,Pelecanoides whenuahouensis
7797,South Georgia Shag,Leucocarbo georgianus
7799,Crozet Shag,Leucocarbo melanogenis
7801,Antarctic Shag,Leucocarbo bransfieldensis
7803,Kerguelen Islands Shag,Leucocarbo verrucosus
7805,Heard Shag,Leucocarbo nivalis
7807,Macquarie Shag,Leucocarbo purpurascens
7817,Australian Ibis,Threskiornis moluccus
7826,Giant Ibis,Thaumatibis gigantea
7902,Stripe-backed Bittern,Ixobrychus involucris
7903,Least Bittern,Ixobrychus exilis
7910,Black Bittern,Ixobrychus flavicollis
7914,Cinnamon Bittern,Ixobrychus cinnamomeus
7915,Schrenck's Bittern,Ixobrychus eurhythmus
7916,Dwarf Bittern,Ixobrychus sturmii
7917,Common Little Bittern,Ixobrychus minutus
7921,Yellow Bittern,Ixobrychus sinensis
7922,Australian Little Bittern,Ixobrychus dubius
